,tag,is_np_part,is_after_StopWord,is_after_verb,is_before_StopWord,is_before_verb,np_index,tag_before,tag_after,is_after_StartStops,is_before_key_stop,token_tf,normalized_tfnum_set
621,3,1,0,0,0,0,1,16,22,0,0,4,0.0425531914893617
622,22,0,0,0,0,0,-1,3,22,0,0,36,0.3829787234042553
623,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
624,22,0,0,0,0,0,-1,22,3,0,0,36,0.3829787234042553
625,3,1,0,0,0,0,1,22,22,0,0,4,0.0425531914893617
626,22,0,0,0,0,0,-1,3,22,0,0,36,0.3829787234042553
627,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
628,22,0,0,0,0,0,-1,22,3,0,0,36,0.3829787234042553
629,3,1,0,0,0,0,1,22,22,0,0,4,0.0425531914893617
630,22,0,0,0,0,0,-1,3,22,0,0,36,0.3829787234042553
631,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
632,22,0,0,0,1,0,-1,22,17,0,0,36,0.3829787234042553
633,17,0,0,0,0,0,-1,22,13,0,0,1,0.010638297872340425
634,13,0,1,0,1,0,-1,17,7,0,0,1,0.010638297872340425
635,7,0,0,0,0,0,-1,13,16,0,0,1,0.010638297872340425
636,16,1,1,0,0,0,2,7,13,0,0,1,0.010638297872340425
637,13,1,0,0,1,1,2,16,14,0,0,1,0.010638297872340425
638,14,0,0,0,0,0,-1,13,14,0,0,1,0.010638297872340425
639,14,0,1,1,0,0,-1,14,13,0,0,1,0.010638297872340425
640,13,0,0,0,0,0,-1,14,27,0,0,1,0.010638297872340425
641,27,0,0,0,0,0,-1,13,22,0,0,3,0.031914893617021274
642,22,0,0,0,0,0,-1,27,22,0,0,36,0.3829787234042553
643,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
644,22,0,0,0,0,0,-1,22,27,0,0,36,0.3829787234042553
645,27,0,0,0,0,0,-1,22,22,0,0,3,0.031914893617021274
646,22,0,0,0,0,0,-1,27,22,0,0,36,0.3829787234042553
647,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
648,22,0,0,0,0,0,-1,22,27,0,0,36,0.3829787234042553
649,27,0,0,0,0,0,-1,22,22,0,0,3,0.031914893617021274
650,22,0,0,0,0,0,-1,27,22,0,0,36,0.3829787234042553
651,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
652,22,0,0,0,0,0,-1,22,13,0,0,36,0.3829787234042553
653,13,0,0,0,0,0,-1,22,24,0,0,1,0.010638297872340425
654,24,0,0,0,0,0,-1,13,16,0,0,1,0.010638297872340425
655,16,1,0,0,0,0,3,24,13,0,0,1,0.010638297872340425
656,13,1,0,0,0,0,3,16,16,0,0,1,0.010638297872340425
657,16,1,0,0,0,0,4,13,3,0,0,1,0.010638297872340425
658,3,1,0,0,0,0,1,16,17,0,0,4,0.0425531914893617
659,17,0,0,0,1,0,-1,3,4,0,0,1,0.010638297872340425
660,4,0,0,0,0,0,-1,17,13,0,0,1,0.010638297872340425
661,13,0,1,0,0,0,-1,4,22,0,0,3,0.031914893617021274
662,22,0,0,0,0,0,-1,13,22,0,0,36,0.3829787234042553
663,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
664,22,0,0,0,0,0,-1,22,13,0,0,36,0.3829787234042553
665,13,0,0,0,0,0,-1,22,22,0,0,3,0.031914893617021274
666,22,0,0,0,0,0,-1,13,22,0,0,36,0.3829787234042553
667,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
668,22,0,0,0,0,0,-1,22,13,0,0,36,0.3829787234042553
669,13,0,0,0,0,0,-1,22,22,0,0,3,0.031914893617021274
670,22,0,0,0,0,0,-1,13,22,0,0,36,0.3829787234042553
671,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
672,22,0,0,0,1,0,-1,22,1,0,0,36,0.3829787234042553
673,1,0,0,0,1,0,-1,22,7,0,0,1,0.010638297872340425
674,7,0,1,0,1,0,-1,1,9,0,0,1,0.010638297872340425
675,9,0,1,0,0,0,-1,7,16,0,0,1,0.010638297872340425
676,16,1,1,0,0,0,5,9,16,1,0,1,0.010638297872340425
677,16,1,0,0,0,1,5,16,16,0,0,1,0.010638297872340425
678,16,1,0,0,1,0,5,16,20,0,0,1,0.010638297872340425
679,20,0,0,1,1,0,-1,16,27,0,0,1,0.010638297872340425
680,27,0,1,0,1,0,-1,20,7,0,0,1,0.010638297872340425
681,7,0,1,0,0,0,-1,27,16,0,0,2,0.02127659574468085
682,16,1,1,0,0,0,6,7,13,0,0,1,0.010638297872340425
683,13,1,0,0,0,0,6,16,3,0,0,1,0.010638297872340425
684,3,0,0,0,0,0,-1,13,27,0,0,1,0.010638297872340425
685,27,0,0,0,0,0,-1,3,1,0,0,1,0.010638297872340425
686,1,0,0,0,0,0,-1,27,13,0,0,1,0.010638297872340425
687,13,0,0,0,1,0,-1,1,27,0,0,1,0.010638297872340425
688,27,0,0,0,1,0,-1,13,14,0,0,1,0.010638297872340425
689,14,0,1,0,0,0,-1,27,16,0,0,1,0.010638297872340425
690,16,1,1,0,0,0,7,14,13,0,0,1,0.010638297872340425
691,13,1,0,0,0,0,7,16,22,0,0,3,0.031914893617021274
692,22,0,0,0,0,0,-1,13,22,0,0,36,0.3829787234042553
693,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
694,22,0,0,0,0,0,-1,22,13,0,0,36,0.3829787234042553
695,13,1,0,0,0,0,7,22,22,0,0,3,0.031914893617021274
696,22,0,0,0,0,0,-1,13,22,0,0,36,0.3829787234042553
697,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
698,22,0,0,0,0,0,-1,22,13,0,0,36,0.3829787234042553
699,13,1,0,0,0,0,7,22,22,0,0,3,0.031914893617021274
700,22,0,0,0,0,0,-1,13,22,0,0,36,0.3829787234042553
701,22,0,0,0,0,0,-1,22,22,0,0,36,0.3829787234042553
702,22,0,0,0,0,0,-1,22,0,0,0,36,0.3829787234042553
703,27,0,0,0,0,0,-1,0,1,0,0,1,0.019230769230769232
704,1,0,0,0,1,1,-1,27,17,0,0,1,0.019230769230769232
